num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
339,170,111,7,3,1,25,0,0
48,47,10,0,0,0,10,0,1
314,135,83,0,0,27,24,0,0
2722,671,413,63,3,6,486,0,0
66,57,22,0,0,0,0,0,0
974,323,322,0,0,0,65,0,0
176,98,23,0,0,0,43,0,0
507,238,202,0,0,5,21,1,0
41,32,18,0,0,0,1,0,0
125,87,36,0,0,3,17,0,0
129,76,33,0,0,5,16,0,0
67,55,25,0,0,0,7,0,0
39,28,18,0,0,0,1,0,0
214,136,57,0,0,1,21,0,0
70,53,30,0,0,0,2,0,0
72,54,20,0,0,1,10,1,0
235,157,71,4,1,0,14,0,0
21,17,0,0,0,0,0,0,0
55,55,4,0,0,0,17,0,1
26,23,13,0,0,0,2,0,0
55,41,17,0,0,0,7,0,0
187,128,28,1,1,2,18,1,0
202,81,76,0,0,0,13,0,0
875,239,133,72,2,1,110,1,0
458,192,169,0,0,0,27,0,0
359,177,96,4,2,0,31,1,0
51,43,13,0,0,0,4,0,0
1867,651,637,0,0,0,57,2,1
457,197,116,0,0,21,50,0,0
160,114,53,0,0,0,6,0,0
47,39,18,0,0,0,1,0,0
56,49,19,0,0,0,4,0,1
307,162,90,1,1,0,17,0,0
659,277,66,0,0,1,213,0,0
27,27,3,0,0,0,7,0,0
227,136,50,0,0,1,24,1,0
118,92,21,0,0,0,14,0,0
90,68,30,0,0,0,3,0,0
241,207,24,0,0,1,65,0,0
178,108,72,0,0,0,0,0,0
713,258,249,0,0,6,33,0,0
77,65,23,0,0,0,11,1,1
50,40,19,0,0,1,0,1,0
48,39,8,0,0,0,23,0,1
68,53,22,0,0,0,4,0,1
2107,573,261,154,7,2,339,1,0
87,66,32,0,0,0,3,0,1
27,23,5,0,0,0,3,0,1
60,54,20,0,0,0,1,0,0
811,401,256,0,0,4,50,1,0
198,135,72,0,0,1,9,0,0
211,128,68,0,0,0,11,0,0
398,188,114,0,0,11,37,0,0
359,201,104,0,0,1,48,2,0
229,138,72,0,0,1,5,1,0
147,91,55,0,0,0,0,0,0
754,379,289,0,0,0,21,0,0
1560,593,159,23,23,216,634,0,0
63,52,18,1,1,0,4,1,1
252,141,89,0,0,3,16,1,0
142,107,54,1,1,0,3,0,0
56,39,20,0,0,0,2,0,0
82,64,27,0,0,0,4,1,0
53,39,6,0,0,0,8,0,0
437,196,132,6,4,2,31,0,0
42,33,15,0,0,0,0,0,0
25,25,1,0,0,0,10,0,1
57,49,27,0,0,0,3,0,0
420,178,116,2,2,1,59,1,0
48,46,11,0,0,0,14,0,1
126,84,21,0,0,0,18,0,0
70,61,12,0,0,0,7,0,1
49,42,21,0,0,0,2,0,0
62,48,25,0,0,0,3,0,0
616,303,95,0,0,0,121,1,1
759,355,244,1,1,1,14,0,0
186,112,47,0,0,8,9,1,0
254,156,91,0,0,0,2,0,0
49,42,17,0,0,0,2,0,0
150,147,6,0,0,0,18,0,1
68,57,28,0,0,0,1,0,0
88,68,19,4,4,1,16,0,0
666,356,200,0,0,1,7,0,0
664,285,243,0,0,1,11,0,0
101,68,29,0,0,0,8,1,0
49,46,10,0,0,1,8,0,0
